tenure,contract,customer_satisfaction,num_complaints,late_payments,monthlycharges,churn
16,two_year,6.0,1.0,1,104.47,0
16,two_year,5.0,0.0,0,66.86,0
54,one_year,9.0,0.0,1,83.68,0
21,one_year,2.0,0.0,0,91.46,0
12,one_year,7.0,0.0,0,81.66,0
33,two_year,7.0,0.0,1,104.5,0
26,one_year,6.0,2.0,0,76.79,0
7,one_year,5.0,0.0,0,56.18,0
11,one_year,5.0,1.0,1,83.49,0
9,one_year,5.0,1.0,1,89.12,0
72,two_year,5.0,1.0,0,73.42,0
19,one_year,5.0,3.0,0,123.09,0
3,one_year,9.0,0.0,1,109.3,0
72,two_year,8.0,0.0,0,75.15,0
1,one_year,7.0,1.0,0,101.19,0
10,one_year,9.0,0.0,0,79.29,0
30,one_year,4.0,0.0,0,72.05,0
10,two_year,6.0,0.0,0,61.62,0
42,one_year,4.0,1.0,0,78.5,0
22,two_year,6.0,2.0,0,91.94,0
5,two_year,9.0,1.0,0,128.7,0
69,one_year,8.0,0.0,1,101.36,0
13,two_year,7.0,0.0,0,84.43,0
1,month_to_month,8.0,1.0,0,58.36,1
8,two_year,8.0,1.0,1,129.92,1
68,one_year,9.0,1.0,1,100.71,0
46,two_year,7.0,0.0,1,102.74,0
22,one_year,5.0,1.0,1,87.52,0
6,one_year,9.0,2.0,0,98.24,0
4,one_year,3.0,2.0,2,104.56,0
72,two_year,8.0,2.0,1,72.21,0
15,two_year,5.0,0.0,0,153.22,0
63,one_year,8.0,0.0,0,64.25,0
24,one_year,1.0,0.0,0,101.96,1
72,two_year,4.0,1.0,1,75.67,0
6,two_year,8.0,0.0,0,103.76,0
44,one_year,8.0,0.0,0,75.65,0
6,one_year,7.0,1.0,0,62.54,0
7,month_to_month,7.0,1.0,0,106.38,0
6,two_year,6.0,2.0,1,72.47,0
4,one_year,6.0,1.0,0,89.09,0
43,two_year,4.0,0.0,0,60.5,0
18,month_to_month,5.0,1.0,1,56.87,0
10,one_year,5.0,1.0,1,34.96,0
4,one_year,6.0,1.0,1,94.17,1
54,one_year,3.0,1.0,0,74.56,0
35,two_year,8.0,1.0,0,113.42,0
14,one_year,3.0,0.0,1,69.93,0
48,two_year,3.0,0.0,0,65.2,1
8,one_year,9.0,0.0,0,110.61,0
